iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_bagging_freq,param_feature_fraction,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
1,600,0.5866857767105103,0.03189098834991455,0.013248801231384277,0.00021159648895263672,0.9917115704474215,5,0.8607324052224274,0.01002897700544083,0.418651247794619,0.03307800649717359,11,19,1159,1023,"{'bagging_fraction': np.float64(0.9917115704474215), 'bagging_freq': 5, 'feature_fraction': np.float64(0.8607324052224274), 'lambda_l1': np.float64(0.01002897700544083), 'lambda_l2': np.float64(0.418651247794619), 'learning_rate': np.float64(0.03307800649717359), 'max_depth': 11, 'min_data_in_leaf': 19, 'n_estimators': 1159, 'num_leaves': 1023}",-0.015312576394158176,-0.07825886258340894,-0.04678571948878356,0.031473143094625386,21,-3.753760265033722e-05,-0.0006813137013636623,-0.00035942565200699974,0.0003218880493566625
2,1800,2.1285769939422607,0.10718584060668945,0.056199073791503906,0.0009729862213134766,0.918855052953664,2,0.8023199053150775,0.012347352124058908,0.4633468091392814,0.0887339353380981,40,10,6787,255,"{'bagging_fraction': np.float64(0.918855052953664), 'bagging_freq': 2, 'feature_fraction': np.float64(0.8023199053150775), 'lambda_l1': np.float64(0.012347352124058908), 'lambda_l2': np.float64(0.4633468091392814), 'learning_rate': np.float64(0.0887339353380981), 'max_depth': 40, 'min_data_in_leaf': 10, 'n_estimators': 6787, 'num_leaves': 255}",-0.013033174279596703,-0.0808271750445526,-0.04693017466207465,0.03389700038247795,22,-7.209270839955224e-07,-4.315444601784165e-07,-5.762357720869695e-07,1.4469131190855295e-07
1,600,0.15403008460998535,0.0024900436401367188,0.004119992256164551,0.00012814998626708984,0.6356745158869479,4,0.8760253496991544,0.0975255307264138,0.30451712384334234,0.02859991820225434,34,18,564,63,"{'bagging_fraction': np.float64(0.6356745158869479), 'bagging_freq': 4, 'feature_fraction': np.float64(0.8760253496991544), 'lambda_l1': np.float64(0.0975255307264138), 'lambda_l2': np.float64(0.30451712384334234), 'learning_rate': np.float64(0.02859991820225434), 'max_depth': 34, 'min_data_in_leaf': 18, 'n_estimators': 564, 'num_leaves': 63}",-0.013637620505037461,-0.08115627110614464,-0.04739694580559105,0.03375932530055359,23,-0.002002091835600811,-0.0058535233170257835,-0.003927807576313298,0.0019257157407124863
1,600,1.057784914970398,0.01952803134918213,0.023737549781799316,0.0016902685165405273,0.7327990090662301,5,0.7859623756384853,0.06008332605690108,0.016250124969524715,0.004734818874921442,11,18,2991,2047,"{'bagging_fraction': np.float64(0.7327990090662301), 'bagging_freq': 5, 'feature_fraction': np.float64(0.7859623756384853), 'lambda_l1': np.float64(0.06008332605690108), 'lambda_l2': np.float64(0.016250124969524715), 'learning_rate': np.float64(0.004734818874921442), 'max_depth': 11, 'min_data_in_leaf': 18, 'n_estimators': 2991, 'num_leaves': 2047}",-0.013276080219989944,-0.08183077494903586,-0.0475534275845129,0.03427734736452296,24,-0.0013539433588002647,-0.004678109885121674,-0.003016026621960969,0.0016620832631607046
1,600,0.6257627010345459,0.0969700813293457,0.014063000679016113,0.003161787986755371,0.7816377859881918,3,0.9722699421778278,0.025929222914887497,0.20619146151781487,0.07655511385430487,41,16,3657,1023,"{'bagging_fraction': np.float64(0.7816377859881918), 'bagging_freq': 3, 'feature_fraction': np.float64(0.9722699421778278), 'lambda_l1': np.float64(0.025929222914887497), 'lambda_l2': np.float64(0.20619146151781487), 'learning_rate': np.float64(0.07655511385430487), 'max_depth': 41, 'min_data_in_leaf': 16, 'n_estimators': 3657, 'num_leaves': 1023}",-0.013209679362329686,-0.08231436747458944,-0.04776202341845956,0.03455234405612988,25,-4.368753098176406e-06,-4.697483061263521e-06,-4.5331180797199635e-06,1.6436498154355755e-07
1,600,2.017262816429138,0.40869319438934326,0.054839491844177246,0.015235304832458496,0.6792328642721364,0,0.9744879026631341,0.08600385777897994,0.2257253370691017,0.010541011649041133,60,26,9496,511,"{'bagging_fraction': np.float64(0.6792328642721364), 'bagging_freq': 0, 'feature_fraction': np.float64(0.9744879026631341), 'lambda_l1': np.float64(0.08600385777897994), 'lambda_l2': np.float64(0.2257253370691017), 'learning_rate': np.float64(0.010541011649041133), 'max_depth': 60, 'min_data_in_leaf': 26, 'n_estimators': 9496, 'num_leaves': 511}",-0.013088214739991968,-0.08665577184818811,-0.04987199329409004,0.03678377855409807,26,-0.00010411402411045815,-0.0003148773353871905,-0.0002094956797488243,0.00010538165563836616
2,1800,2.723647952079773,0.18341195583343506,0.1120074987411499,0.0021246671676635742,0.6333905071376424,1,0.8508037069686584,0.006147875124998935,0.14032323211830572,0.09182658859666537,24,5,5672,1023,"{'bagging_fraction': np.float64(0.6333905071376424), 'bagging_freq': 1, 'feature_fraction': np.float64(0.8508037069686584), 'lambda_l1': np.float64(0.006147875124998935), 'lambda_l2': np.float64(0.14032323211830572), 'learning_rate': np.float64(0.09182658859666537), 'max_depth': 24, 'min_data_in_leaf': 5, 'n_estimators': 5672, 'num_leaves': 1023}",-0.014031586771160235,-0.08837590982142855,-0.05120374829629439,0.03717216152513416,27,-6.643947476259353e-08,-4.1368184434008124e-08,-5.390382959830083e-08,1.2535645164292704e-08
0,200,0.23790550231933594,0.019083499908447266,0.0018044710159301758,0.000588536262512207,0.9460232775885566,2,0.8303183096531286,0.03600784076946757,0.3235516810152824,0.06789240596630997,38,8,8496,511,"{'bagging_fraction': np.float64(0.9460232775885566), 'bagging_freq': 2, 'feature_fraction': np.float64(0.8303183096531286), 'lambda_l1': np.float64(0.03600784076946757), 'lambda_l2': np.float64(0.3235516810152824), 'learning_rate': np.float64(0.06789240596630997), 'max_depth': 38, 'min_data_in_leaf': 8, 'n_estimators': 8496, 'num_leaves': 511}",-0.023247407067560552,-0.08070797058188624,-0.051977688824723395,0.028730281757162843,28,-4.950200098087641e-05,-3.2842823599367696e-05,-4.117241229012205e-05,8.329588690754358e-06
0,200,0.23897850513458252,0.029601693153381348,0.0028328895568847656,0.0010616779327392578,0.9004746473411999,3,0.8164509778619565,0.06532882184423532,0.23012644524575832,0.0555616789315935,42,15,8502,63,"{'bagging_fraction': np.float64(0.9004746473411999), 'bagging_freq': 3, 'feature_fraction': np.float64(0.8164509778619565), 'lambda_l1': np.float64(0.06532882184423532), 'lambda_l2': np.float64(0.23012644524575832), 'learning_rate': np.float64(0.0555616789315935), 'max_depth': 42, 'min_data_in_leaf': 15, 'n_estimators': 8502, 'num_leaves': 63}",-0.023299573826589932,-0.08657154923424219,-0.054935561530416066,0.031635987703826134,29,-0.00014507147484790048,-9.459083659028273e-05,-0.0001198311557190916,2.5240319128808878e-05
0,200,0.20849287509918213,0.020779967308044434,0.0021979808807373047,0.0005869865417480469,0.918855052953664,2,0.8023199053150775,0.012347352124058908,0.4633468091392814,0.0887339353380981,40,10,6787,255,"{'bagging_fraction': np.float64(0.918855052953664), 'bagging_freq': 2, 'feature_fraction': np.float64(0.8023199053150775), 'lambda_l1': np.float64(0.012347352124058908), 'lambda_l2': np.float64(0.4633468091392814), 'learning_rate': np.float64(0.0887339353380981), 'max_depth': 40, 'min_data_in_leaf': 10, 'n_estimators': 6787, 'num_leaves': 255}",-0.024080124087125947,-0.08583960508495295,-0.05495986458603945,0.0308797404989135,30,-4.220980344958445e-06,-3.893422510367135e-06,-4.05720142766279e-06,1.6377891729565483e-07
