feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_minus_SPY_pct_120,ES_minus_SPY,120,False,ES_fwd_ret_180,180,signed,0.00036110191355922345,0.00036110191355922345,1136644
SPX_pct_240_per_ESvol,SPX,240,True,ES_fwd_up_120,120,binary,-0.0003609337764883983,0.0003609337764883983,1074869
ES_minus_SPY_pct_3,ES_minus_SPY,3,False,ES_fwd_ret_60,60,signed,-0.000360217688233073,0.000360217688233073,1198975
ES_minus_SPY_pct_20_per_ESvol,ES_minus_SPY,20,True,ES_fwd_up_120,120,binary,-0.0003573811649220976,0.0003573811649220976,1131084
ES_minus_SPX_pct_120_per_ESvol,ES_minus_SPX,120,True,ES_fwd_up_12,12,binary,-0.0003560601072251219,0.0003560601072251219,1074021
ES_pct_3_per_ESvol,ES,3,True,ES_fwd_ret_12,12,signed,0.00035301516559948284,0.00035301516559948284,1190671
ES_pct_300_per_ESvol,ES,300,True,ES_fwd_up_240,240,binary,-0.0003509897985095613,0.0003509897985095613,1036618
ES_minus_SPY_pct_12,ES_minus_SPY,12,False,ES_fwd_ret_360,360,signed,-0.00034969824962146067,0.00034969824962146067,1117708
ES_pct_1_per_ESvol,ES,1,True,ES_fwd_up_120,120,binary,-0.00034795067123590825,0.00034795067123590825,1135927
ES_minus_SPY_pct_300,ES_minus_SPY,300,False,ES_fwd_ret_120,120,signed,-0.00034477018442226283,0.00034477018442226283,1105084
ES_minus_SPY_pct_8,ES_minus_SPY,8,False,ES_fwd_ret_60,60,signed,-0.00034438329696954485,0.00034438329696954485,1197660
SPY_minus_SPX_pct_1,SPY_minus_SPX,1,False,ES_fwd_up_60,60,binary,-0.00034242782491268804,0.00034242782491268804,1143031
SPY_minus_SPX_pct_45_per_ESvol,SPY_minus_SPX,45,True,ES_fwd_up_360,360,binary,0.0003408146878953214,0.0003408146878953214,1074658
ES_minus_SPX_pct_3_per_ESvol,ES_minus_SPX,3,True,ES_fwd_up_240,240,binary,0.00033854188578368667,0.00033854188578368667,1112852
ES_minus_SPY_pct_8_per_ESvol,ES_minus_SPY,8,True,ES_fwd_ret_60,60,signed,0.00033505255719604507,0.00033505255719604507,1176944
SPY_minus_SPX_pct_8_per_ESvol,SPY_minus_SPX,8,True,ES_fwd_ret_12,12,signed,0.00033252119982063,0.00033252119982063,1189376
ES_minus_SPY_pct_90,ES_minus_SPY,90,False,ES_fwd_ret_120,120,signed,-0.0003322011435087524,0.0003322011435087524,1160314
ES_minus_SPY_pct_180_per_ESvol,ES_minus_SPY,180,True,ES_fwd_up_12,12,binary,-0.00033134784197650616,0.00033134784197650616,1059107
ES_minus_SPY_pct_5,ES_minus_SPY,5,False,ES_fwd_ret_60,60,signed,-0.0003304310759687441,0.0003304310759687441,1198449
